* Targets:
* 1 - proton
* 3 - deuterium
*
*
*Asymmetry types:
*30 - pi+
*31 - pi-
*40 - K+
*41 - K-
*
*
*

*---- proton target ----

z min max   Q2 min max   mult    考stat         考RICH      考MC 
1 30
0.600 0.750 5.000 15.000 0.06029 0.00308 +0.00000 -0.00169 0.00091


z min max   Q2 min max   mult    考stat         考RICH      考MC 
1 41
0.250 0.350 1.000 1.500   0.11359 0.00284 +0.00187 -0.01371 0.00207 	
0.250 0.350 1.500 2.000   0.12122 0.00390 +0.00224 -0.01427 0.00235	
0.250 0.350 2.000 3.000   0.11484 0.00337 +0.00211 -0.01441 0.00180 	
0.250 0.350 3.000 5.000   0.12151 0.00380 +0.00235 -0.01442 0.00170 	
0.250 0.350 5.000 15.000  0.12683 0.00571 +0.00324 -0.01521 0.00189 	
0.350 0.450 1.000 1.500   0.06197 0.00201 +0.00081 -0.00414 0.00153 	
0.350 0.450 1.500 2.000   0.06822 0.00253 +0.00064 -0.00390 0.00166 	
0.350 0.450 2.000 3.000   0.05910 0.00214 +0.00082 -0.00329 0.00122 	
0.350 0.450 3.000 5.000   0.06035 0.00225 +0.00091 -0.00227 0.00108 	
0.350 0.450 5.000 15.000  0.05259 0.00318 +0.00111 -0.00199 0.00103 	
0.450 0.600 1.000 1.500   0.03748 0.00122 +0.00000 -0.00086 0.00095 	
0.450 0.600 1.500 2.000   0.03157 0.00139 +0.00000 -0.00057 0.00086 	
0.450 0.600 2.000 3.000   0.03219 0.00124 +0.00000 -0.00053 0.00069 	
0.450 0.600 3.000 5.000   0.02579 0.00126 +0.00000 -0.00045 0.00052 	
0.450 0.600 5.000 15.000  0.02971 0.00165 +0.00048 -0.00032 0.00068 	
0.600 0.750 1.000 1.500   0.00442 0.00087 +0.00253 -0.00430 0.00061 	
0.600 0.750 1.500 2.000   0.00525 0.00100 +0.00171 -0.00301 0.00058 	
0.600 0.750 2.000 3.000   0.00618 0.00091 +0.00194 -0.00329 0.00041 	
0.600 0.750 3.000 5.000   0.00698 0.00096 +0.00156 -0.00279 0.00033 	
