   0.0190   0.0243  34.00  175.428    3.249
   0.0243   0.0298  34.00  158.617    3.151
   0.0298   0.0353  34.00  133.382    3.102
   0.0353   0.0408  34.00  118.832    3.073
   0.0408   0.0464  34.00  100.718    2.546
   0.0464   0.0577  34.00   80.830    1.621
   0.0577   0.0691  34.00   59.609    4.236
   0.0691   0.0918  34.00   43.332    2.815
   0.0918   0.1143  34.00   30.398    1.706
   0.1143   0.1462  34.00   19.339    1.102
   0.1712   0.1942  34.00    9.109    1.001
   0.1942   0.2172  34.00    7.706    0.701
   0.2172   0.2631  34.00    5.003    0.400
   0.2631   0.3431  34.00    2.851    0.190
   0.3431   0.5711  34.00    0.910    0.052
   0.5711   0.9710  34.00    0.110    0.020
